,tweet_id,favorites,retweets
2185,668872652652679168,551,317
2186,668852170888998912,471,175
2187,668826086256599040,459,150
2188,668815180734689280,598,289
2189,668779399630725120,738,400
2190,668655139528511488,554,231
2191,668645506898350081,944,580
2192,668643542311546881,927,569
2193,668641109086707712,1129,569
2194,668636665813057536,1092,517
2195,668633411083464705,2973,1756
2196,668631377374486528,750,343
2197,668627278264475648,334,122
2198,668625577880875008,411,140
2199,668623201287675904,1514,838
2200,668620235289837568,210,45
2201,668614819948453888,639,337
2202,668587383441514497,1737,1157
2203,668567822092664832,258,61
2204,668544745690562560,544,245
2205,668542336805281792,484,227
2206,668537837512433665,259,78
2207,668528771708952576,490,238
2208,668507509523615744,341,114
2209,668496999348633600,429,143
2210,668484198282485761,446,250
2211,668480044826800133,482,159
2212,668466899341221888,925,548
2213,668297328638447616,648,315
2214,668291999406125056,261,34
2215,668286279830867968,526,148
2216,668274247790391296,869,246
2217,668268907921326080,583,256
2218,668256321989451776,1363,658
2219,668248472370458624,1041,520
2220,668237644992782336,6497,3043
2221,668226093875376128,322,113
2222,668221241640230912,531,214
2223,668204964695683073,579,205
2224,668190681446379520,682,207
2225,668171859951755264,516,205
2226,668154635664932864,515,334
2227,668142349051129856,582,303
2228,668113020489474048,696,262
2229,667937095915278337,1336,845
2230,667924896115245057,313,119
2231,667915453470232577,218,58
2232,667911425562669056,515,323
2233,667902449697558528,881,392
2234,667886921285246976,1974,1158
2235,667885044254572545,852,519
2236,667878741721415682,406,126
2237,667873844930215936,657,433
2238,667866724293877760,3127,1093
2239,667861340749471744,251,83
2240,667832474953625600,296,68
2241,667806454573760512,1093,526
2242,667801013445750784,341,100
2243,667793409583771648,723,350
2244,667782464991965184,429,256
2245,667773195014021121,241,59
2246,667766675769573376,466,233
2247,667728196545200128,390,159
2248,667724302356258817,510,338
2249,667550904950915073,0,35
2250,667550882905632768,0,33
2251,667549055577362432,6037,2424
2252,667546741521195010,345,134
2253,667544320556335104,904,555
2254,667538891197542400,212,71
2255,667534815156183040,853,568
2256,667530908589760512,493,257
2257,667524857454854144,1769,1180
2258,667517642048163840,384,199
2259,667509364010450944,7046,2237
2260,667502640335572993,554,228
2261,667495797102141441,550,291
2262,667491009379606528,553,237
2263,667470559035432960,270,101
2264,667455448082227200,199,66
2265,667453023279554560,322,95
2266,667443425659232256,815,613
2267,667437278097252352,470,254
2268,667435689202614272,319,87
2269,667405339315146752,484,229
2270,667393430834667520,204,59
2271,667369227918143488,380,170
2272,667211855547486208,511,253
2273,667200525029539841,643,276
2274,667192066997374976,404,114
2275,667188689915760640,770,440
2276,667182792070062081,14881,6521
2277,667177989038297088,195,57
2278,667176164155375616,632,481
2279,667174963120574464,257,86
2280,667171260800061440,229,95
2281,667165590075940865,2776,1210
2282,667160273090932737,264,65
2283,667152164079423490,49073,17953
2284,667138269671505920,4768,2338
2285,667119796878725120,342,133
2286,667090893657276420,342,130
2287,667073648344346624,419,130
2288,667070482143944705,86,14
2289,667065535570550784,171,49
2290,667062181243039745,223,56
2291,667044094246576128,194,52
2292,667012601033924608,463,235
2293,666996132027977728,252,100
2294,666983947667116034,2640,1028
2295,666837028449972224,844,572
2296,666835007768551424,221,82
2297,666826780179869698,261,101
2298,666817836334096384,535,260
2299,666804364988780544,246,94
2300,666786068205871104,789,505
2301,666781792255496192,398,203
2302,666776908487630848,361,180
2303,666739327293083650,240,68
2304,666701168228331520,443,226
2305,666691418707132416,190,49
2306,666649482315059201,905,597
2307,666644823164719104,236,86
2308,666454714377183233,533,216
2309,666447344410484738,105,22
2310,666437273139982337,129,50
2311,666435652385423360,167,54
2312,666430724426358785,322,201
2313,666428276349472768,168,86
2314,666421158376562688,320,116
2315,666418789513326592,127,47
2316,666411507551481857,454,334
2317,666407126856765440,112,42
2318,666396247373291520,170,88
2319,666373753744588802,192,95
2320,666362758909284353,788,581
2321,666353288456101888,227,74
2322,666345417576210432,303,143
2323,666337882303524864,201,95
2324,666293911632134144,513,363
2325,666287406224695296,151,68
2326,666273097616637952,178,79
2327,666268910803644416,105,36
2328,666104133288665088,14531,6744
2329,666102155909144576,80,13
2330,666099513787052032,159,71
2331,666094000022159362,166,76
2332,666082916733198337,120,45
2333,666073100786774016,328,172
2334,666071193221509120,152,64
2335,666063827256086533,486,225
2336,666058600524156928,114,58
2337,666057090499244032,301,143
2338,666055525042405380,444,258
2339,666051853826850816,1240,864
2340,666050758794694657,134,59
2341,666049248165822465,109,40
2342,666044226329800704,304,143
2343,666033412701032449,126,46
2344,666029285002620928,131,48
2345,666020888022790149,2526,518
